time_s,gyro_p_rad_s,gyro_q_rad_s,gyro_r_rad_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2
0.0,-0.002408044999453479,-0.002778488800022227,0.006253254599017497,-0.00430742493832769,0.020560181019377535,-9.84187706846131
0.02,-0.00032973167558521455,0.003744946640382878,0.00248199247956902,0.015256513742686134,-0.0590307815848643,-9.751521145717012
0.04,-0.002823070635498525,0.005521241467212599,-0.008179005856995651,0.005275513693895267,0.010798671544538938,-9.82554915172483
0.06,0.0006141365891694434,-0.003163902189747264,0.0028923004074052996,-0.05800341774550836,-0.048459178604913916,-9.838560760127443
0.08,0.006478718777918268,-0.000935688718577879,-0.009102878806658585,-0.008946808859966656,0.0427280989245393,-9.780340322096743
0.1,-0.0018655216337503152,-0.006711959074173073,0.0008579472028855378,-0.047937995967339275,-0.01270964315390725,-9.855667509456454
0.12,0.007073815148366584,0.00325467645110904,-0.0042963291469115105,0.08296474706910886,0.03264553422489187,-9.770894396317034
0.14,-0.00040163645526586085,-0.0007260681985157137,0.0017140382846006009,-0.004734962527613767,0.016938659615983474,-9.837398060428319
0.16,0.001914416517451786,5.0687607875578044e-05,-0.001089292107169926,-0.010336778040247532,-0.06219989032838446,-9.82876367901184
0.18,0.011023624602715817,-0.006030429056364318,0.0008382817437202923,-0.011078715572444105,0.031002315537739158,-9.746243894918262
0.2,-0.008188334739675528,-0.00048767251746779477,-0.0012279608572567764,-0.12181308240433882,0.038333031982703575,-9.827907316439923
0.22,0.0016319579903949191,-0.005300017870494725,-0.006996300620758107,0.036605349457016524,-0.06139534934543535,-9.760678372451881
0.24,-0.001315264260723276,-0.004048460008491795,-0.005283720232396828,0.009872496873962617,-0.032338484528030946,-9.81258232762821
0.26,0.004024926295061,0.0002558143435783546,-2.1732294026346688e-05,0.00038487495938750163,0.025978350263082747,-9.715111341888404
0.28,-0.010137022367754045,0.00014061506082134066,0.00637664487367009,-0.051625574444479516,-0.05066049825116738,-9.774915813428017
0.3,-0.0017293968739760357,-0.0075098538355948125,-0.006160010785791158,-0.07019229840198354,0.059444703867768206,-9.86838001109171
0.32,-0.0015392492593142798,-0.013226113387391563,-0.0006109435628063742,0.005981381998692702,0.001327531311329396,-9.826439751742901
0.34,7.090568126041778e-06,0.0025673227488343464,0.0031641322678898167,-0.06017903289203838,-0.0012559470648748586,-9.821609252781244
0.36,-0.0064492499887404174,-0.0015120478422521663,-0.0022281977949073846,0.0017635871198884074,-0.012649924515554925,-9.727677178310524
0.38,-0.0004514785380870797,-0.005112947659695819,0.003779117670985674,0.026633091924905646,0.13561679202936622,-9.795318466301632
0.4,-0.004574085380639171,-0.001914693474770323,0.002929334998703241,0.038987781173167965,0.141984675227301,-9.724897612885686
0.42,0.00711902285256134,-0.001721899801666352,-0.00853482724198858,-0.0641765110631012,-0.004621657380919943,-9.777850120420066
0.44,0.0015788605261638966,-0.007684228615072017,-2.5821436863316673e-05,0.03129171917701704,-0.09009927438773124,-9.842177286991257
0.46,-0.002620899482712865,-0.007262240147220134,0.004286293295803476,-0.055461244220254835,-0.02191966602831763,-9.856516702636906
0.48,0.0006482316220557553,0.000742188538244926,0.004015755367660978,0.018549899878360712,0.07519814860948236,-9.844570974311477
0.5,-0.00282603961803602,0.0030505820039321316,0.0077554609556559455,0.0073747520464842245,-0.0664388927707631,-9.730696536748447
0.52,-0.0022610945350526176,0.0004016561107539298,0.0039341380959367015,0.03654303456806667,0.010754185887279596,-9.912021260279008
0.54,-0.0017666666834095304,-0.002839174912079594,0.0038225972246986473,0.011974578788799716,-0.009766186332706829,-9.824093409984389
0.56,-0.0038373203570690275,0.0017320095372245008,-0.0014382540268339827,0.004234040767022316,-0.05036916616488645,-9.858913980501912
0.58,0.009864322079317332,0.005051656092590797,0.009512743705134996,0.007234789587004804,-0.021560719050919268,-9.79620937889524
0.6,0.00807574415519923,-0.0002795988503993351,0.0014191538349497756,-0.052659637562291785,0.0211767849952349,-9.823864449105141
